date,open,high,low,close,volume,price
2013-01-02,131.3,131.66,129.62,131.66,4449000.0,131.66
2013-01-03,131.7,131.78,130.07,130.94,4584600.0,130.94
2013-01-04,130.93,134.64,130.32,134.51,5234600.0,134.51
2013-01-07,134.12,134.51,132.88,134.26,3556900.0,134.26
2013-01-08,133.71,133.95,132.7,133.05,2760200.0,133.05
2013-01-09,133.4,134.43,133.27,134.32,3666500.0,134.32
2013-01-10,135.07,138.15,134.13,137.37,5960700.0,137.37
2013-01-11,137.02,137.17,136.13,137.13,3211700.0,137.13
2013-01-14,137.19,137.32,135.66,136.13,2855800.0,136.13
2013-01-15,135.55,137.26,135.12,135.59,4322800.0,135.59
2013-01-16,138.94,141.58,137.9,141.09,10650800.0,141.09
2013-01-17,140.89,141.95,139.62,141.01,6596000.0,141.01
2013-01-18,141.35,144.81,141.24,144.45,7349000.0,144.45
2013-01-22,144.01,146.28,143.34,145.95,5158400.0,145.95
2013-01-23,145.78,145.94,144.81,145.56,3948700.0,145.56
2013-01-24,145.0,146.74,144.06,144.96,4638200.0,144.96
2013-01-25,144.18,145.27,143.3,144.46,4639400.0,144.46
2013-01-28,144.43,145.25,143.69,144.15,3045600.0,144.15
2013-01-29,144.1,147.5,143.84,147.1,4519800.0,147.1
2013-01-30,146.81,147.42,145.91,147.15,4083100.0,147.15
2013-01-31,146.26,148.0,146.26,147.86,3680900.0,147.86
2013-02-01,148.51,150.4,147.76,149.9,4563800.0,149.9
2013-02-04,148.25,148.95,146.62,147.52,4679400.0,147.52
2013-02-05,148.35,150.75,148.18,150.45,4219200.0,150.45
2013-02-06,149.75,151.14,149.17,151.12,3940600.0,151.12
2013-02-07,150.76,152.5,149.0,150.26,4890800.0,150.26
2013-02-08,150.78,151.97,150.35,151.6,3612300.0,151.6
2013-02-11,151.42,152.87,150.96,152.24,3751400.0,152.24
2013-02-12,152.48,154.32,151.79,154.11,4309000.0,154.11
2013-02-13,154.11,154.85,153.28,154.52,4369100.0,154.52
2013-02-14,153.84,156.72,153.62,155.93,5035800.0,155.93
2013-02-15,156.4,156.54,154.08,154.99,4254400.0,154.99
2013-02-19,155.69,159.0,155.25,158.65,5103400.0,158.65
2013-02-20,158.22,158.5,154.56,155.18,5029700.0,155.18
2013-02-21,153.72,153.95,149.8,150.88,8318000.0,150.88
2013-02-22,152.37,154.13,152.05,154.09,4772700.0,154.09
2013-02-25,155.19,155.69,147.6,147.65,6294200.0,147.65
2013-02-26,148.11,149.46,146.71,148.0,5686600.0,148.0
2013-02-27,147.87,152.05,147.76,151.65,4695000.0,151.65
2013-02-28,151.35,152.4,149.76,149.76,4956000.0,149.76
2013-03-01,148.12,151.7,147.22,150.53,4538400.0,150.53
2013-03-04,150.01,152.47,149.71,152.18,3209200.0,152.18
2013-03-05,153.45,154.96,152.8,152.96,4589300.0,152.96
2013-03-06,154.06,155.05,152.8,154.13,3593200.0,154.13
2013-03-07,154.7,157.19,154.5,156.62,3886300.0,156.62
2013-03-08,155.89,156.23,152.01,152.98,6615000.0,152.98
